Country,Population,Total_Official_Cases,Total_True_Infections,Unobservability_Ratio,Total_Official_Deaths,Total_H3_Excess_Deaths,Mortality_Unobservability_Ratio
Fiji,896444,57,2789023,48930.24,2,28347,14173.58
Tajikistan,9537642,17786,197137437,11083.85,125,263645,2109.16
Nicaragua,6624554,15627,118675609,7594.27,246,213516,867.95
Egypt,102334403,515759,2564956387,4973.17,24812,9630666,388.15
Algeria,43851043,271431,1081899740,3985.91,6881,2710667,393.94
Bolivia,11673029,546155,981114943,1796.4,19264,6025480,312.78
Uzbekistan,33469199,251247,442628390,1761.73,1637,1636848,999.91
Philippines,109581085,4078127,3908234500,958.34,66196,9570857,144.58
Cuba,11326616,1112643,917651621,824.75,8531,1880495,220.43
Thailand,69799978,4737526,3726362483,786.56,33993,7559749,222.39
Belarus,9449321,179196,102027738,569.36,1349,1071291,794.14
Jamaica,2961161,154416,86431200,559.73,3514,159943,45.52
Tunisia,11818618,1151699,534667939,464.24,29345,1594577,54.34
Saint Kitts and Nevis,53192,6596,3011102,456.5,46,11337,246.47
Kyrgyzstan,6524191,206708,94205566,455.74,3434,197327,57.46
Dominican Republic,10847904,660790,299207180,452.8,4384,964836,220.08
Japan,126476458,33320438,14227275670,426.98,73007,24949779,341.75
Albania,2877800,334457,122561934,366.45,3598,265158,73.7
Russia,145934460,22075858,7273125193,329.46,388478,20169240,51.92
Paraguay,7132530,808401,253461200,313.53,19878,938331,47.2
Azerbaijan,10139175,828850,259113509,312.62,10138,1799473,177.5
Kazakhstan,18776707,1559067,457730164,293.59,19352,946940,48.93
Moldova,4027690,600916,127829571,212.72,11965,495769,41.43
Brazil,212559409,37102068,7451770859,200.85,699402,25557195,36.54
Barbados,287371,106157,17045476,160.57,571,41077,71.94
Malaysia,32365998,5044826,807374128,160.04,36989,1969207,53.24
Costa Rica,5094114,1209725,186251403,153.96,9249,442503,47.84
Argentina,45195777,10043308,1539635327,153.3,130458,5100903,39.1
Cabo Verde,555988,55870,7067778,126.5,402,41822,104.03
Serbia,8737370,2509562,309322823,123.26,17884,1376486,76.97
Bhutan,771612,62627,7618401,121.65,21,19974,951.16
North Macedonia,2083380,346876,41744614,120.34,9663,92308,9.55
Monaco,39244,9317,1107403,118.86,54,7413,137.28
Armenia,2963234,447308,52596729,117.59,8729,81486,9.34
Mauritius,1271767,296184,34475427,116.4,1044,68432,65.55
Suriname,586634,77935,9066108,116.33,1314,59437,45.23
Kosovo,1810366,273312,30606093,111.98,3211,116392,36.25
Liechtenstein,38137,21436,2352219,109.73,90,7255,80.61
Oman,5106622,399449,38578767,96.58,4628,81903,17.7
Jordan,10203140,1747107,156612230,89.64,14122,393675,27.88
Georgia,3989175,1827537,162048381,88.67,16971,427947,25.22
Ukraine,43733759,3692939,300595602,81.4,94979,3069194,32.31
Bahamas,393248,8496,613199,72.18,179,5646,31.54
Namibia,2540916,37976,2574992,67.81,413,23586,57.11
Seychelles,98340,50670,3396374,67.03,172,11459,66.62
Mongolia,3278292,1009317,67297423,66.68,2136,72153,33.78
Andorra,77265,10775,681874,63.28,110,7141,64.92
San Marino,33938,23616,1433412,60.7,122,7692,63.05
Lebanon,6825442,362850,17409695,47.98,4508,180987,40.15
Singapore,5850343,2235294,106654087,47.71,1722,152713,88.68
Kuwait,4270563,663860,31443873,47.37,2570,56681,22.05
Uruguay,3473727,1020182,42167790,41.33,7570,143751,18.99
Turkey,84339067,17042722,631751198,37.07,101492,3702289,36.48
Taiwan,23816775,9970940,358678983,35.97,17672,1261454,71.38
Mexico,127792286,7484592,265427431,35.46,333229,917965,2.75
Ecuador,17643060,1068594,35718342,33.43,36014,106363,2.95
Antigua and Barbuda,97928,647,19584,30.27,14,136,9.69
Saint Vincent and the Grenadines,110947,1519,38724,25.49,6,265,44.19
Qatar,2881060,495090,11811363,23.86,688,37510,54.52
Brunei,437483,279679,6628085,23.7,225,14107,62.7
Belize,397621,56450,1166592,20.67,652,7738,11.87
Canada,38246108,4633056,85824110,18.52,52080,138480,2.66
Guatemala,17915567,1238247,22841241,18.45,20185,66062,3.27
Bulgaria,6948445,1297523,23297608,17.96,38228,72389,1.89
Panama,4314768,329367,5410187,16.43,5550,55250,9.95
South Africa,59308690,4067067,66627853,16.38,102823,270975,2.64
Colombia,50882884,6358232,94618361,14.88,142329,267563,1.88
Poland,37846605,6444960,88992628,13.81,119010,251968,2.12
Peru,32971846,4121255,54047622,13.11,216718,232155,1.07
Romania,19237682,3346046,38483590,11.5,67736,133260,1.97
Iran,83992953,7536217,83812221,11.12,144085,338385,2.35
Malta,441539,117652,1213538,10.31,830,2256,2.72
Finland,5540718,1463644,12587548,8.6,8967,17913,2.0
Hungary,9660350,2196804,18652832,8.49,48762,54756,1.12
Chile,19116209,5192286,40373998,7.78,64486,84098,1.3
United States,329466283,103806564,772029315,7.44,1124389,1798418,1.6
Croatia,4105268,1269326,8789928,6.92,17987,22089,1.23
