Territory,Wave,Window,Deaths_source_linked,Infections_equivalent_primary,Population_pct_primary,EFR_primary
United States,W1,Sep-Dec 1918,362070,36207000.0,44.226015054654255,0.01
Spain,W1,May-Jul 1918,17859,714360.0,3.4846096650358227,0.025
Spain,W2,Aug-Dec 1918,218081,8723240.0,42.551495624652965,0.025
Spain,W3,Jan-Apr 1919,11380,455200.0,2.2204411214573976,0.025
England & Wales,W1,23 Jun-14 Sep 1918,10466,1046600.0,3.135131100063164,0.01
England & Wales,W2,15 Sep 1918-25 Jan 1919,96375,9637500.0,28.86950695285567,0.01
England & Wales,W3,26 Jan-10 May 1919,37013,3701300.0,11.087388439388294,0.01
British India,W1,Jun-Aug 1918,371810,7436200.0,3.117952954407806,0.05
British India,W2,Sep-Dec 1918,6440817,128816340.0,54.01189960988145,0.05
British India,W3,Jan 1919,488318,9766360.0,4.0949747203962,0.05
