Country,Mortality_Time_Unit,Timing_Eligible,Wave_Count,Population,Baseline_Years,Coverage_Start,Coverage_End
Albania,monthly,False,7,2877800.0,5,2020-02-01,2022-12-31
Algeria,monthly,False,7,43851043.0,2,2020-02-01,2022-12-31
Andorra,monthly,False,6,77265.0,5,2020-02-01,2021-11-26
Antigua and Barbuda,monthly,False,8,97928.0,5,2020-02-01,2021-11-26
Argentina,monthly,False,6,45195777.0,5,2020-02-01,2022-12-31
Armenia,monthly,False,7,2963234.0,5,2020-02-01,2022-12-31
Australia,weekly,True,18,25459700.0,5,2020-02-01,2022-12-31
Austria,weekly,True,14,9006400.0,5,2020-02-01,2022-12-31
Azerbaijan,monthly,False,11,10139175.0,5,2020-02-01,2022-12-31
Bahamas,monthly,False,5,393248.0,5,2020-02-01,2021-11-26
Barbados,monthly,False,13,287371.0,5,2020-02-01,2022-12-31
Belarus,monthly,False,9,9449321.0,5,2020-02-01,2022-12-31
Belgium,weekly,True,13,11492641.0,5,2020-02-01,2022-12-31
Belize,monthly,False,10,397621.0,5,2020-02-01,2022-11-26
Bolivia,monthly,False,5,11673029.0,5,2020-02-01,2021-12-27
Bosnia,monthly,False,10,3280815.0,5,2020-02-01,2022-12-31
Brazil,monthly,False,11,212559409.0,5,2020-02-01,2022-12-31
Brunei,monthly,False,8,437483.0,5,2020-02-01,2022-12-31
Bulgaria,weekly,True,12,6948445.0,5,2020-02-01,2022-12-31
Cabo Verde,monthly,False,11,555988.0,5,2020-02-01,2022-11-26
Canada,weekly,True,19,38246108.0,5,2020-02-01,2022-12-31
Chile,weekly,True,18,19116209.0,4,2020-02-01,2022-12-31
Colombia,weekly,True,13,50882884.0,5,2020-02-01,2022-12-31
Costa Rica,monthly,False,9,5094114.0,5,2020-02-01,2022-12-31
Croatia,weekly,True,15,4105268.0,5,2020-02-01,2022-12-31
Cuba,monthly,False,10,11326616.0,5,2020-02-01,2022-12-31
Cyprus,weekly,True,19,1207361.0,5,2020-02-01,2022-12-31
Czechia,weekly,True,15,10708982.0,5,2020-02-01,2022-12-31
Denmark,weekly,True,17,5837213.0,5,2020-02-01,2022-12-31
Dominican Republic,monthly,False,6,10847904.0,5,2020-02-01,2022-12-31
Ecuador,weekly,True,20,17643060.0,5,2020-02-01,2022-12-31
Egypt,monthly,False,7,102334403.0,5,2020-02-01,2022-12-31
Estonia,weekly,True,19,1326539.0,5,2020-02-01,2022-12-31
Finland,weekly,True,17,5540718.0,5,2020-02-01,2022-12-31
France,weekly,True,17,65249843.0,5,2020-02-01,2022-12-31
