Territory,Wave,Resolution,Window,Mortality_Numerator_Dstar,EFR_Low,EFR_Primary,EFR_High,Population_Denominator,Any_Scenario_Infeasible,Ieq_Low,Ieq_Primary,Ieq_High,Conditional_Population_Pct_Low,Conditional_Population_Pct_Primary,Conditional_Population_Pct_High,Primary_Infeasible
Spain,W1,monthly,May-Jul 1918,17859,0.01,0.025,0.05,20500431,False,357180.0,714360.0,1785900.0,1.7423048325179114,3.4846096650358227,8.711524162589557,False
Spain,W2,monthly,Aug-Dec 1918,218081,0.01,0.025,0.05,20500431,True,4361620.0,8723240.0,21808100.0,21.275747812326482,42.551495624652965,106.37873906163242,False
Spain,W3,monthly,Jan-Apr 1919,11380,0.01,0.025,0.05,20500431,False,227600.0,455200.0,1138000.0,1.1102205607286988,2.2204411214573976,5.551102803643494,False
U.S. death-registration area,W1,monthly,Sep-Dec 1918,362070,0.005,0.01,0.025,81868104,False,14482800.0,36207000.0,72414000.0,17.6904060218617,44.226015054654255,88.45203010930851,False
England and Wales,W1,weekly,23 Jun-14 Sep 1918,10466,0.005,0.01,0.025,33382974,False,418640.0,1046600.0,2093200.0,1.2540524400252655,3.135131100063164,6.270262200126328,False
England and Wales,W2,weekly,15 Sep 1918-25 Jan 1919,96375,0.005,0.01,0.025,33382974,False,3855000.0,9637500.0,19275000.0,11.547802781142268,28.86950695285567,57.73901390571134,False
England and Wales,W3,weekly,26 Jan-10 May 1919,37013,0.005,0.01,0.025,33382974,False,1480520.0,3701300.0,7402600.0,4.434955375755318,11.087388439388294,22.174776878776587,False
British India registration provinces,W1,monthly,Jun-Aug 1918,371810,0.025,0.05,0.1,238496222,False,3718100.0,7436200.0,14872400.0,1.558976477203903,3.117952954407806,6.235905908815612,False
British India registration provinces,W2,monthly,Sep-Dec 1918,6440817,0.025,0.05,0.1,238496222,True,64408170.0,128816340.0,257632680.0,27.005949804940727,54.01189960988145,108.0237992197629,False
British India registration provinces,W3,monthly,Jan 1919,488318,0.025,0.05,0.1,238496222,False,4883180.0,9766360.0,19532720.0,2.0474873601981,4.0949747203962,8.1899494407924,False
