Source_ID,Territory,Analytical_Input,Native_Resolution,Coverage_or_definition,Primary_locator,Use_in_analysis,Important_limitation
INE_MNP_1915_1919,Spain,National all-cause deaths by calendar month,monthly,Spain national civil registration,"Movimiento natural de la población de España, annual volumes 1915-1919; monthly death tables",Positive excess over 1915-1917 same-month mean,"Population denominator reconstructed from published mortality count and rounded rate; monthly timing only"
INE_1918_EXHIBITION,Spain,Annual cause-of-death contextual totals,annual,Spain national civil registration,"INE historical exhibition '1918: la gripe española'",Context only; not allocated across months,"Historical attribution categories do not determine monthly epidemic deaths"
CHOWELL_2014,Spain,Published national phase chronology and denominator context,interval,Spain,"BMC Infectious Diseases 2014;14:371",Defines May-Jul 1918; Aug-Dec 1918; Jan-Apr 1919 intervals,"Published phases are descriptive and not exact biological change points"
US_CENSUS_1918_TABLE10,U.S. death-registration area,Primary-cause influenza pneumonia and bronchopneumonia deaths,monthly,"Death-registration area excluding Hawaii; 81,868,104 people; 77.8% U.S. coverage","Mortality Statistics 1918, Table 10, p. 483 onward",Sum of mutually exclusive categories for Sep-Dec 1918,"Not full U.S. coverage; numerator differs from all-cause excess"
US_CENSUS_SPECIAL_1918,U.S. death-registration area,Published Sep-Dec epidemic-period estimates,interval,U.S. and registration-area contextual estimates,"Special Tables of Mortality from Influenza and Pneumonia, Sep 1-Dec 31 1918",Context and interval definition only,"Not a national monthly series and not used to rescale Table 10"
US_CENSUS_1919,U.S. death-registration area,1919 coverage documentation,annual,Expanded death-registration area,"Mortality Statistics 1919",Coverage check only,"Not concatenated because Delaware Florida and Mississippi entered the frame"
GRO_TABLE_XX,England and Wales,Weekly civilian influenza-associated deaths,weekly,England and Wales civilians,"Registrar-General influenza supplement, Cmd. 700, Table XX, pp. 48-80",Three official intervals and weekly counts,"Certification broadened on 1 Oct 1918; non-civilian counts excluded"
UKDS_4350,England and Wales,Electronic transcription used to construct national aggregate,weekly,England and Wales,"UK Data Archive Study 4350",Reproducible 46-week aggregate checked against Table XX,"Restricted unit workbooks are not redistributed; aggregate is sufficient"
INDIA_SANITARY_1913_1918,British India registration provinces,Registered all-cause deaths by calendar month,monthly,"Directly administered registration provinces including Burma; excludes princely states and unregistered areas","Annual Reports, Appendix to Section III, Table E; 1918 report Tables D-E",Positive excess over 1913-1917 same-month mean,"Registration incomplete and heterogeneous; all-cause numerator"
INDIA_SANITARY_1919,British India registration provinces,January 1919 continuation and narrative,monthly,Same registration provinces,"1919 report, Appendix to Section III, Table E; Section III p. 58",January 1919 interval and continuation context,"Common 1918 denominator carried forward for conditional comparison"
