Country,Scenario,Wave_Number,Wave_Start,Wave_End,Mortality_Time_Unit,Timing_Eligible,Peak_Matched,Peak_Date_Mortality_Timing_Anchor,Peak_Date_Official_Cases,Peak_Lag_Days_Signed,Peak_Lag_Days_Absolute,Official_Peak_Inside_Unbuffered_Wave,Official_Cases,Shifted_Regularized_Excess_Deaths,Tau_Shift_Days,Lambda_H3,Smoothing_Days,Match_Window_Days,Wave_Buffer_Days,Minimum_Anchor_Peak_Per_Million,Official_Prominence_Fraction,Mortality_Anchored_Incidence_primary,Mortality_Anchored_Incidence_moderate_decline,Mortality_Anchored_Incidence_shallow_decline,Mortality_Anchored_Incidence_attenuated_decline,Mortality_Anchored_Incidence_accentuated_decline,Mortality_Anchored_Incidence_constant_0_006,Mortality_Anchored_Incidence_common_scale_0_8,Mortality_Anchored_Incidence_common_scale_1_2,Population,Incidence_Scenario_Min,Incidence_Scenario_Max,Attack_Rate_Min_Pct,Attack_Rate_Max_Pct,Any_Scenario_Above_Population,Any_Scenario_Below_Official_Cases,Resolution_Flag,Phase
Albania,primary,1,2020-02-28,2020-09-07,monthly,False,False,2020-07-28,,,,False,10406.0,1896.0245326858203,20,5000.0,7,42,14,1.0,0.0,180573.76501769715,180573.76501769715,180573.76501769715,225717.2062721215,150478.13751474765,316004.08878097,225717.2062721215,150478.13751474765,2877800.0,150478.13751474765,316004.08878097,5.228929651634847,10.980752268433179,False,False,monthly_descriptive_only,2020
Albania,primary,2,2020-09-07,2020-12-19,monthly,False,False,2020-10-29,,,,False,42287.0,4067.965407156399,20,5000.0,7,42,14,1.0,0.0,387425.27687203797,387425.27687203797,387425.27687203797,484281.59609004756,322854.397393365,677994.2345260665,484281.59609004756,322854.397393365,2877800.0,322854.397393365,677994.2345260665,11.218792042301931,23.559463288834056,False,False,monthly_descriptive_only,2020
Albania,primary,3,2020-12-19,2021-05-04,monthly,False,False,2021-02-01,,,,False,79323.0,4601.517229546538,20,5000.0,7,42,14,1.0,0.0,766919.5382577564,766919.5382577564,766919.5382577564,766919.5382577564,766919.5382577564,766919.5382577564,958649.4228221956,639099.615214797,2877800.0,639099.615214797,958649.4228221956,22.20792324743891,33.31188487115837,False,False,monthly_descriptive_only,2021_pre_omicron
Albania,primary,4,2021-05-04,2021-06-27,monthly,False,False,2021-05-24,,,,False,1236.0,261.37436869122223,20,5000.0,7,42,14,1.0,0.0,43562.39478187037,43562.39478187037,43562.39478187037,43562.39478187037,43562.39478187037,43562.39478187037,54452.99347733797,36301.995651558645,2877800.0,36301.995651558645,54452.99347733797,1.2614495674320192,1.892174351148029,False,False,monthly_descriptive_only,2021_pre_omicron
Albania,primary,5,2021-06-27,2021-11-22,monthly,False,False,2021-09-03,,,,False,64102.0,3289.8611915474457,20,5000.0,7,42,14,1.0,0.0,548310.1985912409,548310.1985912409,548310.1985912409,548310.1985912409,548310.1985912409,548310.1985912409,685387.7482390512,456925.1654927008,2877800.0,456925.1654927008,685387.7482390512,15.8775858465738,23.8163787698607,False,False,monthly_descriptive_only,2021_pre_omicron
Albania,primary,6,2021-11-22,2022-04-06,monthly,False,False,2022-01-14,,,,False,78067.0,2224.331024184826,20,5000.0,7,42,14,1.0,0.0,2224331.0241848263,1112165.5120924131,741443.6747282754,1853609.1868206887,2780413.7802310325,370721.8373641377,2780413.7802310325,1853609.1868206887,2877800.0,370721.8373641377,2780413.7802310325,12.882126532911867,96.61594899683898,False,False,monthly_descriptive_only,omicron_era
Albania,primary,7,2022-04-06,2022-09-04,monthly,False,False,2022-07-09,,,,False,56193.0,473.4918703640392,20,5000.0,7,42,14,1.0,0.0,473491.8703640392,236745.9351820196,157830.62345467974,394576.55863669934,591864.837955049,78915.31172733987,591864.837955049,394576.55863669934,2877800.0,78915.31172733987,591864.837955049,2.7422097340795006,20.566573005596254,False,False,monthly_descriptive_only,omicron_era
Algeria,primary,1,2020-04-28,2020-09-11,monthly,False,False,2020-06-28,,,,False,44235.0,36939.119818277904,20,5000.0,7,42,14,1.0,0.0,3518011.411264562,3518011.411264562,3518011.411264562,4397514.264080703,2931676.176053802,6156519.969712984,4397514.264080703,2931676.176053802,43851043.0,2931676.176053802,6156519.969712984,6.685533514114594,14.039620379640647,False,False,monthly_descriptive_only,2020
Algeria,primary,2,2020-09-11,2021-01-25,monthly,False,False,2020-10-28,,,,False,58366.0,23094.94855667199,20,5000.0,7,42,14,1.0,0.0,2199518.9101592368,2199518.9101592368,2199518.9101592368,2749398.6376990466,1832932.4251326974,3849158.0927786645,2749398.6376990466,1832932.4251326974,43851043.0,1832932.4251326974,3849158.0927786645,4.179906108807258,8.777802828495242,False,False,monthly_descriptive_only,2020
Algeria,primary,3,2021-01-25,2021-05-06,monthly,False,False,2021-04-26,,,,False,17877.0,4229.470508697971,20,5000.0,7,42,14,1.0,0.0,704911.7514496618,704911.7514496618,704911.7514496618,704911.7514496618,704911.7514496618,704911.7514496618,881139.6893120774,587426.459541385,43851043.0,587426.459541385,881139.6893120774,1.3395951825852466,2.0093927738778694,False,False,monthly_descriptive_only,2021_pre_omicron
