scenario,scenario_label,replicate,true_peaks,detected_peaks,matched_peaks,peak_recovery_pct,exact_wave_count,false_positive_peaks,median_absolute_peak_error_days,mean_signed_peak_error_days,burden_relative_error_pct
ideal_weekly,"Weekly, constant fatality",20260815,3,3,3,100.0,1,0,10.0,0.3333333333333333,-0.1562035684331331
ideal_weekly,"Weekly, constant fatality",20260816,3,3,3,100.0,1,0,5.0,4.0,1.2360513309858323
ideal_weekly,"Weekly, constant fatality",20260817,3,3,3,100.0,1,0,11.0,5.0,-3.926618921841807
ideal_weekly,"Weekly, constant fatality",20260818,3,3,3,100.0,1,0,5.0,2.0,-1.2076178573300345
ideal_weekly,"Weekly, constant fatality",20260819,3,3,3,100.0,1,0,9.0,-7.0,2.605038597632392
ideal_weekly,"Weekly, constant fatality",20260820,3,3,3,100.0,1,0,11.0,8.0,1.6334369768635337
ideal_weekly,"Weekly, constant fatality",20260821,3,3,3,100.0,1,0,12.0,-5.333333333333333,-1.910223006782652
ideal_weekly,"Weekly, constant fatality",20260822,3,3,3,100.0,1,0,11.0,-1.3333333333333333,-2.9005396011849705
ideal_weekly,"Weekly, constant fatality",20260823,3,3,3,100.0,1,0,15.0,-3.0,-2.5748461248135346
ideal_weekly,"Weekly, constant fatality",20260824,3,3,3,100.0,1,0,15.0,5.333333333333333,-1.5536180722788728
ideal_weekly,"Weekly, constant fatality",20260825,3,3,3,100.0,1,0,2.0,1.0,2.771400276833891
ideal_weekly,"Weekly, constant fatality",20260826,3,3,3,100.0,1,0,12.0,11.666666666666666,-2.218518400130809
ideal_weekly,"Weekly, constant fatality",20260827,3,3,3,100.0,1,0,9.0,0.6666666666666666,1.2748734347275414
ideal_weekly,"Weekly, constant fatality",20260828,3,3,3,100.0,1,0,2.0,-5.0,-3.641749254458737
ideal_weekly,"Weekly, constant fatality",20260829,3,3,3,100.0,1,0,7.0,0.3333333333333333,-1.8183825082691563
ideal_weekly,"Weekly, constant fatality",20260830,3,3,3,100.0,1,0,6.0,4.666666666666667,0.13854960600896415
ideal_weekly,"Weekly, constant fatality",20260831,3,3,3,100.0,1,0,11.0,15.333333333333334,0.11330728097691534
ideal_weekly,"Weekly, constant fatality",20260832,3,3,3,100.0,1,0,14.0,8.333333333333334,1.73576952504495
ideal_weekly,"Weekly, constant fatality",20260833,3,4,3,100.0,0,1,6.0,-2.0,-1.9156930088991664
ideal_weekly,"Weekly, constant fatality",20260834,3,3,3,100.0,1,0,18.0,11.0,1.698868630272643
ideal_weekly,"Weekly, constant fatality",20260835,3,3,3,100.0,1,0,15.0,0.6666666666666666,-0.4188972617445552
