date,admission,death,Source,Population
1918-01-15,344.58,5.83,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-02-15,200.08,2.48,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-03-15,363.91,5.22,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-04-15,493.2,4.63,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-05-15,167.51,1.54,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-06-15,85.94,0.84,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-07-15,73.13,0.93,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-08-15,83.05,1.27,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-09-15,974.36,54.06,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-10-15,1978.15,95.69,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-11-15,296.27,9.74,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1918-12-15,266.65,9.08,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1919-01-15,271.9,9.14,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1919-02-15,138.01,3.87,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1919-03-15,118.13,2.3,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1919-04-15,89.37,1.09,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
1919-05-15,65.84,0.79,"AMEDD Medical Department in the World War, Table 13","White enlisted men, U.S. Army in United States"
